Limit Cost:;1000;

Num;RelL;RelR;Cost;Times;IterNum;Time(sec);GetTime_num;Sim_num;
0;0.862215817179;0.96064162639;700;[-1,-1,-1,-1,-1,-1];52;0.480000019073;0;0;
1;0.866377025863;0.964567807821;657;[-1,-1,-1,-1,-1,-1];32;0.296000003815;0;0;
2;0.850634692468;0.95203363235;520;[-1,-1,-1,-1,-1,-1];32;0.298000097275;0;0;
3;0.865357314031;0.948136484514;515;[-1,-1,-1,-1,-1,-1];32;0.292999982834;0;0;
4;0.864777746282;0.963581667471;570;[-1,-1,-1,-1,-1,-1];81;0.740999937057;0;0;
5;0.862765473711;0.947341801161;527;[-1,-1,-1,-1,-1,-1];41;0.384000062943;0;0;
6;0.870210398599;0.967030017455;690;[-1,-1,-1,-1,-1,-1];44;0.405999898911;0;0;
7;0.882251555113;0.96271333709;517;[-1,-1,-1,-1,-1,-1];32;0.310000181198;0;0;
8;0.882750027704;0.963105119327;543;[-1,-1,-1,-1,-1,-1];38;0.368000030518;0;0;
9;0.847142725843;0.945726459007;553;[-1,-1,-1,-1,-1,-1];32;0.302000045776;0;0;
;
Min relL:;Max relL:;Avg relL:;Min relR:;Max relR:;Avg relR:;Min iter:;Max iter:;Avg iter:;Min tc:;Max tc:;Avg tc:;Min sc:;Max sc:;Avg sc:;Min time:;Max time:;Avg time:;
0.847142725843;0.882750027704;0.865448277679;0.945726459007;0.967030017455;0.957487795259;32;81;41;0;0;0;0;0;0;0.292999982834;0.740999937057;0.38780002594;
